province,name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating,animates
An Giang,Rồng Vàng Resort,http://rongvangresort.com/,Không có mô tả,1391634,"Hồ Đá Đồi Tà Pạ, Cảng Hàng Không Quốc Tế Cần Thơ, Cơm Cô Hai",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNPNKboUm9jU_ZspRP_VzOWlg2IlxZZQqthhAId=s10000,4,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,Lá Homestay Garden,Không có link,Không có mô tả,1215000,"Chợ Nổi Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, Tiệm Nhà Anna",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipP67iXq0jXCAGG5v0L1pYcI4q1Hl__N6HwlsTBF=s10000,2.9,"Breakfast ($), Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Fitness centre, Spa, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible"
An Giang,Hera Boutique Inn,http://www.herahostel.com/,Không có mô tả,800000,"Miếu Bà Chúa Xứ Núi Sam, Cảng Hàng Không Quốc Tế Cần Thơ, Hội Quán Châu Đốc",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMDcIgz7yXVKu9kGnuSZQF4J5EgCyLkWmbRC3Uq=s10000,4.4,"Free Wi-Fi, Free parking, Air conditioning, Airport shuttle, Full-service laundry, Smoke-free property"
An Giang,Căn hộ Khách sạn Cao cấp Marina Plaza,https://marinahome.vn/,Không có mô tả,615246,"Nhà thờ Chánh toà Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, HUP - Lẩu Chay Long Xuyên",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMf3qOBRkd8v8jyhCPdkmCtYJH2gClr_8lNwR-6=s10000,4.4,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,LARA HOTEL LONG XUYEN,https://larahotellongxuyen.com/,"Khách sạn bình dị có phòng ốc tinh tế, nhà hàng và cửa hàng tiện lợi kiểu Nhật.",982975,"Nhà thờ Chánh toà Long Xuyên, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà Hàng Hải Sản Long Xuyên",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipPMTXum8J6Zo1wDEcf8QboeF63dhIy9gZKbsEvN=s10000,4.3,"Free breakfast, Free Wi-Fi, Free parking, Restaurant, Full-service laundry, Smoke-free property"
An Giang,Khách sạn Victoria Núi Sam,https://www.victoriahotels.asia/en/destination/victoria-nui-sam/,"Khách sạn sang trọng giữa khung cảnh núi non, có biệt thự thoáng mát, nhà hàng sáng sủa và bể bơi vô cực.",2994713,"Miếu Bà Chúa Xứ Núi Sam, Cảng Hàng Không Quốc Tế Cần Thơ, Ẩm Thực Phương Nam (Hoa Viên Phương Nam)",Khách sạn 3 sao,https://lh5.googleusercontent.com/p/AF1QipOy5Hq2OXRvqHYCBlIBb5OB4fyvNQXI-f06D9z9=s10000,3.2,"Free breakfast, Free Wi-Fi, Parking, Outdoor pool, Air conditioning, Bar, Restaurant, Airport shuttle, Full-service laundry, Child-friendly"
An Giang,Resort Sang Như Ngọc,Không có link,Không có mô tả,1944081,"Khu du lịch Lâm Viên Núi Cấm, Cảng Hàng Không Quốc Tế Cần Thơ, Quán cơm Như Loan",Không có hạng sao,https://images.trvl-media.com/lodging/25000000/24160000/24155700/24155607/5332efb7_z.jpg,3.9,"Free breakfast, Free Wi-Fi, Outdoor pool, Air conditioning, Restaurant, Full-service laundry"
An Giang,Khách sạn Victoria Châu Đốc,https://www.victoriahotels.asia/en/destination/victoria-chau-doc/,"Khách sạn bình dân có nhà hàng, quán bar, spa và bể bơi ngoài trời.",3455744,"Tượng đài cá Ba Sa, Cảng Hàng Không Quốc Tế Cần Thơ, Quán Mekong - Cửu Long Nhà Lớn",Khách sạn 4 sao,https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/7/0/130/631/749/006_Victoria_Chau_Doc_Hotel_Vietnam_Meko_O.jpg,4.1,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Fitness centre, Spa, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible, Child-friendly"
An Giang,HANIF GLAMPING,Không có link,Không có mô tả,520000,"Làng Chăm Đa Phước, Cảng Hàng Không Quốc Tế Cần Thơ, Nhà hàng Chay Bồ Đề Tâm",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipO3hXgC5fbM4JF-PUqXg07oZlFerW9S9LYBbzqp=s10000,2.6,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,Homestay Khoa Chaudoc,https://www.facebook.com/homestaykhoachaudoc,Không có mô tả,530000,"Tượng đài Cá Basa, Cảng Hàng Không Quốc Tế Cần Thơ, Quán Chay Hoa An",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipMAGd3bmCzwojsX3EiUdAdpxTOMvfLUKQaCwDO5=s10000,4.3,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,Kim Ngân Motel,Không có link,Không có mô tả,443700,"Miếu Bà Chúa Xứ Núi Sam, Cảng Hàng Không Quốc Tế Cần Thơ, Ẩm Thực Phương Nam (Hoa Viên Phương Nam)",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNd_1j3F-9tmF7Jdm91IJh0Stf5S9OT013Uh8Ui=s10000,3.2,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,An Suối Garden Camp,https://www.facebook.com/profile.php?id=100091769983348,Không có mô tả,0,"Hồ Đá Đồi Tà Pạ, Cảng Hàng Không Quốc Tế Cần Thơ, Ruộng Food",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipNmAG5HUxuRw6Pf0EEZF-R2z2pcuyUtuHNUM3rE=s10000,2.9,"Free Wi-Fi, Free parking, Air conditioning, Full-service laundry, Child-friendly"
An Giang,MerPerle Nui Sam Resort,http://www.merperlenuisam.com/,Không có mô tả,1755550,"Tây An Cổ Tự, Cảng Hàng Không Quốc Tế Cần Thơ, Quán Phở Bò Đảm",Không có hạng sao,https://lh5.googleusercontent.com/p/AF1QipOi36yNkilGbm_yVSoh-ejgW5jkOErxNaFi8yQP=s10000,4,"Free breakfast, Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Fitness centre, Spa, Restaurant, Full-service laundry, Accessible, Business centre, Child-friendly"
