name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating
Victoria Nui Sam Lodge,https://www.victoriahotels.asia/en/destination/victoria-nui-sam/,"Airy villas in a refined hotel offering mountain views, a bright restaurant & an infinity pool.",380682470000,"Lady Temple at Sam Mountain, Can Tho International Airport, Ẩm Thực Phương Nam (Hoa Viên Phương Nam)",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNdbouLgrgVptQF_jAr5RVbc_blc_CiwATN49w0=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_ro_009.jpg, https://lh5.googleusercontent.com/p/AF1QipMe1IjHEc2Oa6XXIIEUU8XricR1rETEBxIxu_Bs=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_p_001.jpg, https://lh5.googleusercontent.com/p/AF1QipNlzNg7f9P2Asr7TsdM83nxC1EWSTevEox6bTNG=s10000, https://lh5.googleusercontent.com/p/AF1QipOy5Hq2OXRvqHYCBlIBb5OB4fyvNQXI-f06D9z9=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_a_003.jpg, https://lh5.googleusercontent.com/p/AF1QipP3kxeapwlpEVudBbKgUCwsl4NT9eyE1-UY-5Dr=s10000, https://photos.hotelbeds.com/giata/original/64/644881/644881a_hb_p_002.jpg",3.2
Rồng Vàng Resort,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,No description,164425870000,Can Tho International Airport,No class,"https://q-xx.bstatic.com/xdata/images/hotel/max1024/464420505.jpg?k=8802966809525a3f83c1e3ce3a0e97847f38a6eb2037cbfbd603937c1dee8c2c&o=&s=1024x, https://q-xx.bstatic.com/xdata/images/hotel/max1024/464420509.jpg?k=a313bdfb446fb84286f75ee55b298cd640f374ce4c0d93316ff60c7d462cc41d&o=&s=1024x, https://pix8.agoda.net/hotelImages/40602501/671382810/478d76d32c9a1cc72a03a1063bc98187.png?ce=0&s=1024x, https://q-xx.bstatic.com/xdata/images/hotel/max1024/464416252.jpg?k=e06de53062ea5ae150bfd9e962f8b2aec1c17417b63dfe818c0c7162f36550d7&o=&s=1024x, https://pix8.agoda.net/hotelImages/40602501/0/21c27c686f74e3bcad69c7444eb1da04.jpg?ce=0&s=1024x, https://q-xx.bstatic.com/xdata/images/hotel/max1024/464414514.jpg?k=29c271611f907f5bdfabc10041d2d2b2465b02a4a64c078ee90b981b7033a7ed&o=&s=1024x, https://q-xx.bstatic.com/xdata/images/hotel/max1024/464414618.jpg?k=80dc7ce5105aa200945efe892c1eb0b9858c3938d9163d8f2cd7fe23508ab508&o=&s=1024x, https://pix8.agoda.net/hotelImages/40602501/671653510/c6b07f49fba189f31cb58ab2e63877e6.png?ce=0&s=1024x, https://q-xx.bstatic.com/xdata/images/hotel/max1024/464420507.jpg?k=8ac5c8834cb62338fa9352a6aa14a61f97716584074a6ad786f82b18a59b500e&o=&s=1024x",4.0
Victoria Chau Doc Hotel,https://www.victoriahotels.asia/en/destination/victoria-chau-doc/,"Straightforward hotel featuring a restaurant & a bar, plus a spa & an outdoor pool.",512510600000,"Tượng đài cá Ba Sa, Can Tho International Airport, Quán Mekong",4-star hotel,"https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/7/0/130/631/749/006_Victoria_Chau_Doc_Hotel_Vietnam_Meko_O.jpg, https://lh5.googleusercontent.com/p/AF1QipMe9rFHSPSFrGAyF88yFPaSB8jTxPXcXw2r0vic=s10000, https://lh5.googleusercontent.com/p/AF1QipNICZDfxzTcwduA2OSFKueNlc4Zhxae2HZQHF7a=s10000, https://photos.hotelbeds.com/giata/original/08/083851/083851a_hb_ro_025.jpg, https://lh5.googleusercontent.com/p/AF1QipPJi5Y6M0zrFxc6rGQzaKEbzHUMkagNiFdLdOxd=s10000, https://photos.hotelbeds.com/giata/original/08/083851/083851a_hb_ro_023.jpg, https://lh5.googleusercontent.com/p/AF1QipPlqHFBLyB7CbqYD1ykVSGn2HKswnv4gtulIdzU=s10000, https://lh5.googleusercontent.com/p/AF1QipPB19EOEGu42S-EGOECE6hxnsOZbPuebje1aI0x=s10000, https://lh5.googleusercontent.com/p/AF1QipM0P78D8jE9Gftcv6FzEiBe6V7NhsU4pDOSW_kh=s10000",4.1
Humble Escape!,No link,No description,735160720000,Can Tho International Airport,No class,"https://media.vrbo.com/lodging/101000000/100890000/100883500/100883434/w518h683x248y0-11e99766.jpg, https://media.vrbo.com/lodging/101000000/100890000/100883500/100883434/w507h683x259y0-f61aaf25.jpg, https://images.trvl-media.com/lodging/101000000/100890000/100883500/100883434/w508h683x258y0-c2b92751_z.jpg, https://images.trvl-media.com/lodging/101000000/100890000/100883500/100883434/w506h683x260y0-23d84544_z.jpg, https://images.trvl-media.com/lodging/101000000/100890000/100883500/100883434/w507h683x259y0-86c2781f_z.jpg, https://media.vrbo.com/lodging/101000000/100890000/100883500/100883434/w508h683x258y0-e59b1081.jpg, https://images.trvl-media.com/lodging/101000000/100890000/100883500/100883434/w509h683x258y0-eb904997_z.jpg",3.2
BLUE DIAMOND HOMESTAY,No link,No description,147219765000,"Can Tho International Airport, Bún bò Huế (Bà 7 Béo)",No class,"https://lh5.googleusercontent.com/p/AF1QipOLznF5hgpLc_UnTM8BfVhuDG7ITXqup2zlZP9s=s10000, https://lh5.googleusercontent.com/p/AF1QipNFPR378iX5UWT2JzNIjxMYW4hCEeXyytaK1KXS=s10000, https://lh5.googleusercontent.com/p/AF1QipOlDXqg1KwTZypsj5lGvb5Cx-vKO7oM8j5QyXiQ=s10000, https://lh5.googleusercontent.com/p/AF1QipMDfLX9CQnuz0_88LmQ-asfXd6v_MsKhJMQxzN7=s10000, https://lh5.googleusercontent.com/p/AF1QipOc1b7Fw25SJod33Hi6O8GzG0u6KmD3VZKxus-v=s10000, https://lh5.googleusercontent.com/p/AF1QipP4SpRMwGtCln4sn_uEtUOKPfkP8IeA1gBkSSxZ=s10000, https://lh5.googleusercontent.com/p/AF1QipNaY-JKVaozn3JiFvkF_FiRmJG8UC5S2vnWcgiu=s10000, https://lh5.googleusercontent.com/p/AF1QipOFynoXoTzZUUAhkVl5xwmF9GD229R78pZzjQ0x=s10000, https://lh5.googleusercontent.com/p/AF1QipN6u3MqVUIcC6J52GiQypHwM4T50Avzt72Fn8cS=s10000",2.3
Reverside House,https://www.bluepillow.com/search?p_id=592d38107c00cb1410fb0f79&dest=ago&cat=Vacation rental (other)&accomodationids=618288039e3163a56a24780e,No description,668652285000,"Can Tho International Airport, Tiệm Nhà Anna",No class,"https://pix8.agoda.net/hotelImages/agoda-homes/10696643/405dc2d895abd3ca1fecbac5386b3cea.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/agoda-homes/10696643/1ab72d2e3255b30398de47a14f7ebedd.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/agoda-homes/10696643/e65a215e330bdb22b9f08bca1ffa17c2.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/10696643/0/34be30db9054750d305e84674b436278.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/agoda-homes/10696643/aea53b406b9f50180ce7afb6a38115a3.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/10696643/0/1fa4c59415e61b77067083ce7651f149.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/10696643/0/acc4ededa5c38001b56e6a62140d1dec.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/10696643/0/f73a6ff806b638e6d37dd77ff56a126e.jpg?ca=9&ce=1&s=1024x, https://pix8.agoda.net/hotelImages/agoda-homes/10696643/3d5d6eedd52eefdfc85d106e5f49216a.jpg?ca=9&ce=1&s=1024x",2.9
Blue Diamond Homestay,https://www.bluepillow.com/search?p_id=5931604e7c00cb099cf0e122&dest=ago&cat=Vacation rental (other)&accomodationids=65e22fed93553be8f55769a1,No description,147783020000,"Can Tho International Airport, BLUE DIAMOND HOMESTAY",No class,"https://pix8.agoda.net/hotelImages/49699084/783555882/e9231421db4bef459457ef51e92874f9.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/0/6c500eb25380d37aff94861d871fc17a.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/0/832118021db3cdfc482bc4ed92c629f0.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/-1/8b2d07ece8807e4be3cc359e602ac819.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/-1/8520222c24c406c4d44c00180c7ae0c4.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/783591274/68603092789a546959eb7da8d74e0ae0.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/0/8a84bea6cf17cdbcd87b999969801f19.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/0/ce7c827a7d28657750a52f0a0ca7e8f6.jpg?ce=0&s=1024x, https://pix8.agoda.net/hotelImages/49699084/-1/c8248bc64abc6089d66c4e5e88fabc0b.jpg?ce=0&s=1024x",2.3
Rồng Vàng Resort,http://rongvangresort.com/,No description,164517500000,"Hồ Đá Đồi Tà Pạ, Can Tho International Airport, Cơm Cô Hai",No class,"https://lh5.googleusercontent.com/p/AF1QipNPNKboUm9jU_ZspRP_VzOWlg2IlxZZQqthhAId=s10000, https://lh5.googleusercontent.com/p/AF1QipMX79e4vB_yuFoJpottydxULgqS2wrmZ5pZy0y9=s10000, https://lh5.googleusercontent.com/p/AF1QipNlK_sdFxDEVregudg16SofAoCqFyOny7L9otaj=s10000, https://lh5.googleusercontent.com/p/AF1QipNTaguixtu91ejO0IzsWKO9LrTAqb7INBUo4NeV=s10000, https://lh5.googleusercontent.com/p/AF1QipMkfp6z3a3PS5ejiw7DhA-ixvR2X7Yh9eLsNmzs=s10000, https://lh5.googleusercontent.com/p/AF1QipPSSLhzRULJAKg-sfF-ua3NyvZGpXn8BzkxD37k=s10000, https://lh5.googleusercontent.com/p/AF1QipMI_uLH5asG1aKcJn8dlTtvcGS4-xnX3f0G--yb=s10000, https://lh5.googleusercontent.com/p/AF1QipOAPI41QV9yv_dmWbHU8NCnpmZRGKZkMkqgvdBo=s10000, https://lh5.googleusercontent.com/p/AF1QipP6y0qPpPHzfz-SeI_jT0XrKxHoRLrFpr1_vfzr=s10000",4.0
Marina Plaza,https://marinahome.vn/,No description,156477335000,"Long Xuyen Cathedral, Can Tho International Airport, HUP - Lẩu Chay Long Xuyên",No class,"https://lh5.googleusercontent.com/p/AF1QipMf3qOBRkd8v8jyhCPdkmCtYJH2gClr_8lNwR-6=s10000, https://lh5.googleusercontent.com/p/AF1QipNsvZVoQELHF4WWPXeajVXmnzKUfkILpUfIZWgg=s10000, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/68/32/can-h-khach-s-n-cao-c.jpg?w=1300&h=600&s=1, https://lh5.googleusercontent.com/p/AF1QipPaQhQoSlynDrlWv5z630mBo7flt9sCByAP6NTw=s10000, https://lh5.googleusercontent.com/p/AF1QipNC2Gbwl1GDV9ibt7ZFKwRWD0xqg7LvSElO9BR7=s10000, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/88/68/28/can-h-khach-s-n-cao-c.jpg?w=1200&h=900&s=1, https://lh5.googleusercontent.com/p/AF1QipPT0DXxr-xYipB7RD4BH8fkYAn5sCKSUnjZd7vo=s10000, https://lh5.googleusercontent.com/p/AF1QipNFi2qcyr-ncXmayi4DPbQYgbP_uK8yw9wlBRn5=s10000, https://lh5.googleusercontent.com/p/AF1QipPoEbA-A_DKxZLnY0DP2_eEkrnpIMdDRQmxgHpL=s10000",4.4
Chau Khuong Hotel,http://chaukhuonghotel.com/,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",257253185000,"Long Xuyen Cathedral, Can Tho International Airport, A Di Cá Lóc Nướng",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNdnJ9_J3KTYkQezz5qA11TB3wI98H6-ZWuyIYv=s10000, https://lh5.googleusercontent.com/p/AF1QipNj58AWnwHj3AEaErhST8cfAjKxy5BafdW3KC1H=s10000, https://lh5.googleusercontent.com/p/AF1QipN5sv6H0w0ONzAAnspv_KkilDVS2g2R6qz7KYlg=s10000, https://lh5.googleusercontent.com/p/AF1QipM9V0Frb1zu6v1VGNjEWTHRn7ARapCoXXRO5SW1=s10000, https://lh5.googleusercontent.com/p/AF1QipNNVfP7EjC4CA5j6zKN2zkFMbS8gVyB4ZEtg_GA=s10000, https://lh5.googleusercontent.com/p/AF1QipOI84O-toa0Wa2QrxOd1Kdy28da9a8RCTZwqQdM=s10000, https://lh5.googleusercontent.com/p/AF1QipMhn7qT7emh_7flVIwITn_OkYVvzIy_7rBvJ3Cn=s10000, https://lh5.googleusercontent.com/p/AF1QipODqF-uq9RqURxDlZ9T2q4va-qvkKTlUzosDZ6z=s10000, https://lh5.googleusercontent.com/p/AF1QipP7n5DpMGzk6TfVcXdTSVUMA5tAJhiGqMD21sdg=s10000",4.2
